"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","calories_total_grams_mean","avg_calories_pp_mean","fish_calories_wk_mean","meat_calories_wk_mean","protein_calories_wk_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","calories_total_grams_sd","avg_calories_pp_sd","fish_calories_wk_sd","meat_calories_wk_sd","protein_calories_wk_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","calories_total_grams_var","avg_calories_pp_var","fish_calories_wk_var","meat_calories_wk_var","protein_calories_wk_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn"
"1",101012,2.28571428571429,0.178571428571429,0.119047619047619,0.297619047619048,1118.27506865714,559.137534328571,70.1346035142857,212.857142857143,282.991746371429,1.04083299973307,0.349851158828056,0.195433989992643,0.342326598440729,1103.19536101635,551.597680508173,173.170426760953,340.044421117791,339.321197776758,1.08333333333333,0.122395833333333,0.0381944444444444,0.1171875,1217040.00456799,304260.001141997,29987.9967045705,115630.208333333,115138.875260654,0,2,"0",32,"2","4","2","0","trader","0","1","1",0,1,1
"2",102015,2.6,0.0666666666666667,0.15,0.216666666666667,1826.38070348,608.793567826667,426.9364178,233.31428568,660.25070348,1.04083299973307,0.136082763487954,0.204124145231932,0.198373011903968,822.430226290924,274.143408763641,843.528482531626,476.250791348287,854.888017592513,1.08333333333333,0.0185185185185185,0.0416666666666667,0.0393518518518519,676391.47711694,75154.6085685489,711540.300842107,226814.816259869,730833.522623257,1,3,"0",45,"2","4","2","0","farming","0","1","1",0,0.333333333333333,1
"3",102022,1,0,0.25,0.25,950.86669,316.955563333333,266.49169,0,266.49169,0,0,0.447213595499958,0.447213595499958,847.820977143748,282.606992381249,476.714827423041,0,476.714827423041,0,0,0.2,0.2,718800.40928498,79866.7121427755,227257.02668498,0,227257.02668498,0,3,"0",50,"2","4","2","0","trader","1","1","1",1,1,1
"4",102023,3.23809523809524,0.103174603174603,0.215873015873016,0.319047619047619,1624.98364624762,541.661215415873,432.487047619048,288.948979580952,721.4360272,1.1520732299957,0.172529458764045,0.189929545682688,0.14557878217028,1067.71233762712,355.904112542373,511.803942451214,538.457893263335,548.979749835217,1.32727272727273,0.0297664141414141,0.0360732323232323,0.0211931818181818,1140009.63592117,126667.737324574,261943.275508605,289936.902817589,301378.765729137,0,3,"0",21,"1","4","4","1","prod","1","1","1",1,1,1
"5",102025,1.12,0.3,0.08,0.38,1684.358692264,561.452897421333,80.6884256,410.8,491.4884256,0.325221817793995,0.447571796274646,0.271510494673684,0.475354119011857,1011.99090346261,337.330301154204,273.84692936371,606.104892758375,613.152046000207,0.105769230769231,0.200320512820513,0.0737179487179487,0.225961538461538,1024125.58869107,113791.732076786,74992.1407219325,367363.141025641,375955.43151424,0,3,"0",24,"2","4","3","0","livestock","1","1","1",0.666666666666667,0.666666666666667,1
"6",103026,2.46153846153846,0.05,0.0153846153846154,0.0653846153846154,1119.47709221477,186.579515369128,85.1229061538462,278.461538461538,363.584444615385,1.5039630187956,0.121253375014393,0.0534522483824849,0.126538155359973,1725.16411749466,287.527352915776,295.750696980332,703.135833249878,730.875762328722,2.26190476190476,0.014702380952381,0.00285714285714286,0.0160119047619048,2976191.23229111,82671.9786747531,87468.474764352,494400,534179.37995959,0,6,"0",22,"1","4","3","1","self","1","1","1",1,1,1
"7",103032,2.4,0.188,0.248,0.436,1646.084146896,329.2168293792,480.4498612,518.634285696,999.084146896,1.32771251135949,0.222864989217247,0.304996088434121,0.359567294954838,1174.5124461617,234.902489232339,580.302760952732,651.203755761387,916.087238452684,1.76282051282051,0.0496688034188034,0.093022613960114,0.12928863960114,1379479.48618873,55179.1794475493,336751.294369364,424066.331517736,839215.828455864,1,5,"0",28,"1","3","5","0","farming","1","1","1",0.4,0.8,1
"8",103035,2.74285714285714,0.107142857142857,0.16047619047619,0.267619047619048,1275.01340321286,212.50223386881,306.5012944,321.650204051429,628.151498451429,0.905682857245568,0.175520545445934,0.210417677794762,0.216844656236375,748.82735417006,124.804559028343,546.435069019475,595.155969390463,776.507451571259,0.820261437908497,0.0308074618736383,0.0442755991285403,0.0470216049382716,560742.406353332,15576.1779542592,298591.284654318,354210.627901101,602963.822345691,2,6,"0",18,"1","4","3","1","nonearning","1","1","1",0.666666666666667,1,0.833333333333333
"9",104037,2,0.5,0,0.5,2579,1289.5,0,1309,1309,0,0,0,0,439.940905122495,219.970452561247,0,1167.40224430142,1167.40224430142,0,0,0,0,193548,48387,0,1362828,1362828,0,2,"0",28,"2","4","3","0","trader","1","1","1",1,1,1
"10",104041,2,0,0,0,634.16666665,211.388888883333,0,0,0,1.15470053837925,0,0,0,226.128855451848,75.3762851506161,0,0,0,1.33333333333333,0,0,0,51134.259267963,5681.58436310699,0,0,0,1,3,"0",28,"2","4","2","0","trader","1","1","1",0.666666666666667,0.666666666666667,1
