food_name,food_ID,food_name_type,calories_grams
Other food outside of home,294,otherfoodohome,1.771274259
Tobacco,292,otherfoodohome,0
Iodized salt,221,spices,0
Non-iodized salt,222,spices,0
Tea leaves,240,spices,0.01
Pickles,244,spices,0.11
Ash gourd,61,vegetables,0.13
Bangi (Musk melon),320,fruits,0.16
Tomato,58,vegetables,0.16
Radish,66,vegetables,0.16
Cucumber,71,vegetables,0.17
Danta (amaranth),73,vegetables,0.21
Tarmuj (Water melon),319,fruits,0.22
Cabbage,100,leafyveg,0.24
Patal,54,vegetables,0.24
Palang Shak (spinach),111,leafyveg,0.25
Pui (Indian spinach),96,leafyveg,0.25
Cauliflower,67,vegetables,0.25
Eggplant,57,vegetables,0.25
Lau Shak,107,leafyveg,0.26
Shalgom,94,vegetables,0.26
Pumpkin,59,vegetables,0.26
Mustard leaves,115,leafyveg,0.27
Tea –prepared,248,drinks,0.29
Jhinga (ribbed gourd),82,vegetables,0.29
Papaya,297,fruits,0.3
Lal Shak (red amaranth),97,leafyveg,0.32
Pat Shak,108,leafyveg,0.32
Radish leaves,116,leafyveg,0.32
Danta Shak,101,leafyveg,0.32
Sugarcane/palm/date juice,252,drinks,0.33
Green Papaya,69,vegetables,0.33
Okra,56,vegetables,0.33
Sweet gourd,60,vegetables,0.34
Water gourd,63,vegetables,0.34
Bitter gourd,55,vegetables,0.34
Coke/ Seven-up etc/Pepci/RC/Urocola etc,249,drinks,0.38
Pomelo,305,fruits,0.38
Jaamrul,323,fruits,0.39
Buttermilk,146,dairy,0.4
Dried chili,215,spices,0.4
Fig,84,vegetables,0.4
Onion,77,vegetables,0.4
Green chili,70,vegetables,0.4
Milk in Tea,140,dairy,0.41
Karambola,308,fruits,0.41
Carrot,65,vegetables,0.41
Shapla,80,vegetables,0.41875
Beher gura,90,vegetables,0.41875
Dhundal,79,vegetables,0.41875
Other vegetable,95,vegetables,0.41875
Milk,139,dairy,0.42
Black berry,303,fruits,0.43
Pine apple,321,fruits,0.43
Kalmi Shak,103,leafyveg,0.43
Drum stick,85,vegetables,0.43
Bathua,98,leafyveg,0.4383333333
Black gram leaves,119,leafyveg,0.4383333333
Bokful,99,leafyveg,0.4383333333
Darkuni Shak,125,leafyveg,0.4383333333
Dhania Shak,110,leafyveg,0.4383333333
Dudhali Pata,118,leafyveg,0.4383333333
Geema Shak,123,leafyveg,0.4383333333
Kachu Shak,104,leafyveg,0.4383333333
Katanate,106,leafyveg,0.4383333333
Khesari Shak,122,leafyveg,0.4383333333
Mixed leafy vegetables,117,leafyveg,0.4383333333
Neem Shak,124,leafyveg,0.4383333333
Other leafy vegetables,126,leafyveg,0.4383333333
Pea leaves,113,leafyveg,0.4383333333
Swett gourd leaves,121,leafyveg,0.4383333333
Salad,270,otherfoodohome,0.4383333333
Packaged Juice,250,drinks,0.46
Orange,298,fruits,0.47
Helencha,102,leafyveg,0.49
Sheem,64,vegetables,0.5
Amra,307,fruits,0.51
